               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         5.2235979376187930E-06         1.0000000000000000E+03        -7.4829000000038505E+01                   0                    0                   58                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -29                    0                    0                    0                    0
                   3                16000         1.0614581064978038E-05         1.0000000000000000E+03        -9.2238000000038866E+01                   0                    0                   72                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -36                    0                    0                    0                    0
                   4                24000         1.7198505741282508E-05         1.0000000000000000E+03        -1.0427700000003928E+02                   0                    0                   82                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -41                    0                    0                    0                    0
                   5                32000         2.7128680562162061E-05         1.0000000000000000E+03        -1.1399400000003958E+02                   0                    0                   90                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -45                    0                    0                    0                    0
                   6                40000         4.1468600504651935E-05         1.0000000000000000E+03        -1.1883600000003973E+02                   0                    0                   94                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -47                    0                    0                    0                    0
                   7                48000         6.6510678016342382E-05         1.0000000000000000E+03        -1.2122400000003982E+02                   0                    0                   96                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -48                    0                    0                    0                    0
                   8                56000         1.2058345342700115E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                   9                64000         1.8353266482962761E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  10                72000         2.4569566025563135E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  11                80000         3.0789053293338461E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  12                88000         3.6812618261465797E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  13                96000         4.2967171608984347E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  14               104000         4.9188505483740042E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  15               112000         5.5348564125144478E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  16               120000         6.1744446571998794E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  17               128000         6.8012335504443312E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  18               136000         7.4305345874627949E-04         1.0000000000000000E+03        -1.2361200000003991E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
