               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         2.0912084198234371E-03         1.0000000000000000E+03         1.6692500000004568E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -18                    0                    8                   36                   -4                    0
                   3               200000         2.9590735485444776E-03         1.0000000000000000E+03         2.2375500000006468E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -24                    0                   14                   48                   -8                    0
                   4               300000         5.0573493625742571E-03         1.0000000000000000E+03         1.7671500000009036E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -33                    0                   36                   65                  -18                    0
                   5               400000         5.2362323246524008E-03         1.0000000000000000E+03         3.1522000000010014E+01                   8                    1                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                    0                    1                    0                    0                    0                    0                    0                    2                    0                    0                  -41                    0                   37                   78                  -19                    0
                   6               500000         5.2366958263494259E-03         1.0000000000000000E+03         4.5055999999934834E+01                   8                    1                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   17                    0                    0                    1                    0                    1                    0                    0                    0                    0                    0                    0                  -46                    0                   37                   89                  -19                    0
                   7               600000         5.2371465380997807E-03         1.0000000000000000E+03         5.2964999999934840E+01                   8                    1                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                   19                    0                    0                    1                    0                    1                    0                    0                    0                    3                    0                    0                  -51                    0                   37                   96                  -19                    0
                   8               700000         5.3546819384271910E-03         1.0000000000000000E+03         6.1404499999934842E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   22                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -52                    0                   38                  103                  -19                    0
                   9               800000         5.4401614027807313E-03         1.0000000000000000E+03         6.2012499999916123E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   23                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -53                    0                   38                  105                  -20                    0
                  10               900000         5.4507301024642003E-03         1.0000000000000000E+03         6.4011499999835593E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   23                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -53                    0                   38                  105                  -19                    0
                  11              1000000         5.4644684851044073E-03         1.0000000000000000E+03         6.3940499999735884E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   23                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -53                    0                   38                  105                  -19                    0
                  12              1100000         5.4903019695727445E-03         1.0000000000000000E+03         6.6383499999714857E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   24                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -54                    0                   38                  107                  -19                    0
                  13              1200000         6.0796231784761082E-03         1.0000000000000000E+03         6.5510499999678260E+01                   9                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   24                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -55                    0                   40                  108                  -20                    0
                  14              1300000         7.1040659207392137E-03         1.0000000000000000E+03         6.9220499999631400E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   25                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -56                    0                   40                  111                  -20                    0
                  15              1400000         8.8351266005168815E-03         1.0000000000000000E+03         6.5395499999538075E+01                   9                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   24                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -58                    0                   46                  114                  -23                    0
                  16              1500000         9.3245215003019428E-03         1.0000000000000000E+03         6.9291499999512325E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   25                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -59                    0                   46                  117                  -23                    0
                  17              1600000         9.5299823797418640E-03         1.0000000000000000E+03         7.1433499999510218E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -61                    0                   48                  121                  -24                    0
                  18              1700000         1.0253625924908699E-02         1.0000000000000000E+03         7.2576499999510204E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                  -63                    0                   50                  124                  -25                    0
                  19              1800000         1.0388994174812413E-02         1.0000000000000000E+03         7.1663499999510208E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -64                    0                   54                  127                  -27                    0
                  20              1900000         1.0768919132407351E-02         1.0000000000000000E+03         7.1997499999510183E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   27                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -66                    0                   58                  131                  -29                    0
                  21              2000000         1.0819715845646678E-02         1.0000000000000000E+03         6.9735499999510182E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -67                    0                   60                  133                  -31                    0
                  22              2100000         1.1634454675545481E-02         1.0000000000000000E+03         7.7164499999510184E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   28                    0                    0                    0                    0                    1                    0                    0                    0                    2                    0                    0                  -70                    0                   60                  138                  -30                    0
                  23              2200000         1.3277382979300098E-02         1.0000000000000000E+03         7.0996499999510178E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   27                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -71                    0                   70                  142                  -35                    0
                  24              2300000         1.4320765979157282E-02         1.0000000000000000E+03         6.6795499999508820E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   25                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -74                    0                   76                  147                  -39                    0
                  25              2400000         1.4452848759636554E-02         1.0000000000000000E+03         7.6253499999508747E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   28                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -77                    0                   76                  153                  -38                    0
                  26              2500000         1.5251168700001878E-02         1.0000000000000000E+03         7.9192499999508726E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                  -79                    0                   78                  157                  -39                    0
                  27              2600000         1.5400544442580854E-02         1.0000000000000000E+03         8.1470499999508746E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -80                    0                   78                  159                  -39                    0
                  28              2700000         1.6696971953249436E-02         1.0000000000000000E+03         7.9162499999508768E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -83                    0                   86                  165                  -43                    0
                  29              2800000         1.9494611679952270E-02         1.0000000000000000E+03         6.1880499999465144E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   23                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -87                    0                  108                  173                  -54                    0
                  30              2900000         2.1533321230516857E-02         1.0000000000000000E+03         6.3940499999458801E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   23                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -92                    0                  116                  183                  -58                    0
                  31              3000000         2.3154538745175042E-02         1.0000000000000000E+03         6.9369499999437011E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -99                    0                  126                  197                  -63                    0
                  32              3100000         2.5754659127200825E-02         1.0000000000000000E+03         6.4445499999412590E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   25                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -104                    0                  140                  208                  -71                    0
                  33              3200000         2.8022051120301723E-02         1.0000000000000000E+03         7.1548499999376901E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -109                    0                  145                  216                  -73                    1
                  34              3300000         2.8921243881296764E-02         1.0000000000000000E+03         7.7198499999376850E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   29                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -113                    0                  147                  224                  -75                    1
                  35              3400000         3.1041065306298816E-02         1.0000000000000000E+03         7.4236499999376861E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   29                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -115                    0                  155                  229                  -79                    1
                  36              3500000         3.2448736714143743E-02         1.0000000000000000E+03         7.8669499999376910E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   29                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -121                    0                  163                  240                  -82                    1
                  37              3600000         3.3916111166055959E-02         1.0000000000000000E+03         8.9258499999376838E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   34                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -125                    0                  163                  248                  -82                    1
                  38              3700000         3.4625220835442810E-02         1.0000000000000000E+03         9.1191499999376788E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   35                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -128                    0                  169                  255                  -85                    1
                  39              3800000         3.8010571652234641E-02         1.0000000000000000E+03         7.3253499999376899E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   28                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -132                    0                  191                  263                  -96                    1
                  40              3900000         3.9796092871432660E-02         1.0000000000000000E+03         8.0971499999376860E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -138                    0                  195                  275                  -99                    1
                  41              4000000         4.1263368486016777E-02         1.0000000000000000E+03         8.4447499999376845E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -144                    0                  205                  286                 -103                    1
                  42              4100000         4.4254244955876494E-02         1.0000000000000000E+03         7.3253499999376899E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   28                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -148                    0                  223                  295                 -112                    1
                  43              4200000         4.5997724121204155E-02         1.0000000000000000E+03         8.3951499999376850E+01                   9                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   34                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -154                    0                  223                  307                 -114                    1
                  44              4300000         4.8296138399981280E-02         1.0000000000000000E+03         8.6233499999376861E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -160                    0                  235                  318                 -118                    1
                  45              4400000         5.1061459119824251E-02         1.0000000000000000E+03         8.1977499999376860E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   31                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -165                    0                  249                  328                 -125                    1
                  46              4500000         5.2922826275247942E-02         1.0000000000000000E+03         8.2043499999376905E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                 -171                    0                  259                  339                 -130                    1
                  47              4600000         5.3389248671932364E-02         1.0000000000000000E+03         8.2833999999376942E+01                   8                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   29                    0                    0                    1                    0                    3                    0                    0                    0                    4                    0                    0                 -175                    0                  260                  343                 -131                    1
                  48              4700000         5.3390014389423847E-02         1.0000000000000000E+03         8.9263999999376935E+01                   8                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   33                    0                    0                    1                    0                    3                    0                    0                    0                    2                    0                    0                 -177                    0                  260                  348                 -131                    1
                  49              4800000         5.3390709659774202E-02         1.0000000000000000E+03         9.0025999999376936E+01                   8                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    1                    0                    3                    0                    0                    0                    4                    0                    0                 -178                    0                  260                  349                 -131                    1
                  50              4900000         5.3391489657564940E-02         1.0000000000000000E+03         8.9618999999376840E+01                   8                    1                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    0                    0                    6                    0                    0                    0                    3                    0                    0                 -179                    0                  260                  349                 -131                    1
                  51              5000000         5.3392387905825699E-02         1.0000000000000000E+03         8.9456999999376904E+01                   8                    1                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    4                    0                    0                    0                    7                    0                    0                 -179                    0                  260                  349                 -131                    1
                  52              5100000         5.3393173431054416E-02         1.0000000000000000E+03         9.6609999999376868E+01                   8                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   33                    0                    0                    1                    0                    4                    0                    0                    0                    6                    0                    0                 -182                    0                  260                  355                 -131                    1
                  53              5200000         5.3394193249166680E-02         1.0000000000000000E+03         1.0133499999937681E+02                   8                    1                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                   37                    0                    0                    0                    0                    4                    0                    0                    0                    3                    0                    0                 -182                    0                  260                  357                 -131                    1
                  54              5300000         5.3395156400156213E-02         1.0000000000000000E+03         1.0007899999937690E+02                   8                    1                    1                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   35                    0                    0                    1                    0                    4                    0                    0                    0                    7                    0                    0                 -185                    0                  260                  360                 -132                    1
                  55              5400000         5.3395973828408938E-02         1.0000000000000000E+03         1.0328499999937684E+02                   8                    1                    1                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                   35                    0                    0                    1                    0                    5                    0                    0                    0                    9                    0                    0                 -188                    0                  260                  363                 -132                    1
