               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.1000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         5.0191988151495316E-05         1.1000000000000000E+03         7.0830000000000055E+00                   8                    1                    0                    0                    5                    1                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -12                    0                    1                   21                   -1                    0
                   3               200000         5.9133957801866871E-04         1.1000000000000000E+03         5.7769999999999229E+00                   8                    1                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -17                    0                   13                   32                   -7                    0
                   4               300000         7.6022690268322290E-04         1.1000000000000000E+03         1.2677499999999110E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -20                    0                   15                   39                   -9                    1
                   5               400000         9.8621798870376226E-04         1.1000000000000000E+03         4.4859999999990938E+00                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -21                    0                   24                   40                  -13                    1
                   6               500000         1.0460377677007713E-03         1.1000000000000000E+03         7.8569999999991724E+00                   8                    1                    0                    0                    2                    1                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -25                    0                   28                   47                  -15                    1
                   7               600000         1.0462186624511890E-03         1.1000000000000000E+03         1.3149999999998393E+01                   8                    1                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -27                    0                   28                   51                  -15                    1
                   8               700000         1.0464436339525751E-03         1.1000000000000000E+03         1.5456999999998168E+01                   8                    1                    0                    0                    6                    1                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -29                    0                   28                   53                  -15                    1
                   9               800000         1.1875693007585338E-03         1.1000000000000000E+03         2.1367999999998357E+01                   8                    1                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -31                    0                   30                   60                  -16                    1
                  10               900000         1.5542608557453539E-03         1.1000000000000000E+03         1.3902499999998824E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -35                    0                   45                   67                  -24                    2
                  11              1000000         1.7439345829686327E-03         1.1000000000000000E+03         9.3429999999991544E+00                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -37                    0                   53                   71                  -28                    2
                  12              1100000         2.2434850320288140E-03         1.1000000000000000E+03         1.6920999999998326E+01                   8                    1                    0                    0                    5                    1                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -44                    0                   60                   82                  -32                    3
                  13              1200000         2.2438240385384512E-03         1.1000000000000000E+03         2.7246999999998337E+01                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                  -48                    0                   60                   91                  -32                    3
                  14              1300000         2.3578102580384037E-03         1.1000000000000000E+03         3.3792999999991252E+01                   8                    1                    0                    0                    4                    1                    0                    0                    0                    0                    0                    0                    0                    0                   13                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -54                    0                   66                  102                  -35                    3
                  15              1400000         2.6217246424542003E-03         1.1000000000000000E+03         3.4072499999988167E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   12                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -58                    0                   77                  113                  -40                    3
                  16              1500000         3.0218488698336575E-03         1.1000000000000000E+03         1.4798999999988386E+01                   8                    1                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                  -64                    0                  100                  121                  -52                    3
                  17              1600000         3.1244813179988873E-03         1.1000000000000000E+03         2.6872499999988442E+01                   9                    0                    1                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -71                    0                  105                  137                  -55                    3
                  18              1700000         4.1246307182896767E-03         1.1000000000000000E+03         3.8669999999884683E+00                   8                    1                    0                    0                    2                    0                    0                    0                    0                    0                    1                    0                    0                    0                    1                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                  -76                    0                  135                  147                  -70                    3
                  19              1800000         4.5462324845805500E-03         1.1000000000000000E+03         7.5459999999885898E+00                   8                    1                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                  -85                    0                  150                  165                  -77                    3
                  20              1900000         4.7668975616403843E-03         1.1000000000000000E+03         2.0025499999988210E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -94                    0                  159                  185                  -82                    3
                  21              2000000         5.3308551281889011E-03         1.1000000000000000E+03         8.5209999999917709E+00                   8                    1                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                 -101                    0                  180                  196                  -92                    3
                  22              2100000         5.6040963709929840E-03         1.1000000000000000E+03         2.1578499999992257E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -112                    0                  195                  221                  -99                    3
                  23              2200000         6.1077775525424224E-03         1.1000000000000000E+03         1.2522999999992653E+01                   8                    1                    1                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -122                    0                  218                  238                 -112                    3
                  24              2300000         6.3902483932833211E-03         1.1000000000000000E+03         1.8120499999993807E+01                   9                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -130                    0                  233                  256                 -118                    3
                  25              2400000         6.8506524197577091E-03         1.1000000000000000E+03         1.4791999999995012E+01                   8                    1                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                 -140                    0                  252                  273                 -128                    3
                  26              2500000         6.8513751600085089E-03         1.1000000000000000E+03         3.3087999999992633E+01                   8                    1                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                   12                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                 -147                    0                  252                  288                 -128                    3
                  27              2600000         7.4732877575798750E-03         1.1000000000000000E+03         2.1465999999994196E+01                   8                    1                    0                    0                    4                    1                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -154                    0                  276                  302                 -140                    3
                  28              2700000         8.1627798617543001E-03         1.1000000000000000E+03         1.5236999999993831E+01                   8                    1                    0                    0                    2                    1                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -165                    0                  304                  325                 -154                    3
                  29              2800000         8.5510895363467600E-03         1.1000000000000000E+03         1.6529999999996818E+01                   8                    1                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -178                    0                  329                  349                 -167                    4
                  30              2900000         8.9876770331483741E-03         1.1000000000000000E+03         1.3743999999998600E+01                   8                    1                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -185                    0                  346                  362                 -176                    5
                  31              3000000         9.3000219939876564E-03         1.1000000000000000E+03         2.8567999999998293E+01                   8                    1                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -197                    0                  359                  385                 -183                    6
                  32              3100000         9.6210353030329841E-03         1.1000000000000000E+03         3.4865499999993538E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   12                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -204                    0                  370                  401                 -188                    6
                  33              3200000         1.0401608431166855E-02         1.1000000000000000E+03         1.8592499999994409E+01                   9                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -211                    0                  396                  414                 -201                    6
                  34              3300000         1.0889175062085064E-02         1.1000000000000000E+03         1.7671499999996296E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -219                    0                  415                  430                 -211                    7
                  35              3400000         1.1182339885050928E-02         1.1000000000000000E+03         2.4021499999997207E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -229                    0                  432                  450                 -220                    8
                  36              3500000         1.1522547769434887E-02         1.1000000000000000E+03         2.2452999999997530E+01                   8                    1                    0                    0                    5                    1                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                 -241                    0                  453                  470                 -231                    8
                  37              3600000         1.2270485994906346E-02         1.1000000000000000E+03         7.1949999999975960E+00                   8                    1                    0                    0                    7                    1                    0                    0                    0                    0                    1                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -255                    0                  496                  496                 -254                   10
                  38              3700000         1.2583756517702570E-02         1.1000000000000000E+03         1.7370999999997927E+01                   8                    1                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                 -266                    0                  511                  520                 -261                   10
                  39              3800000         1.3534313571515875E-02         1.1000000000000000E+03         8.2199999999993558E+00                   8                    1                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -276                    0                  539                  540                 -275                   10
                  40              3900000         1.3824354810358663E-02         1.1000000000000000E+03         2.0696999999999168E+01                   8                    1                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -288                    0                  554                  563                 -283                   11
                  41              4000000         1.4430344001033962E-02         1.1000000000000000E+03         2.0792999999999395E+01                   8                    1                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                 -300                    0                  576                  586                 -294                   11
                  42              4100000         1.5412344042814104E-02         1.1000000000000000E+03         1.6892000000000390E+01                   8                    1                    0                    0                    5                    1                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -310                    0                  600                  606                 -306                   11
                  43              4200000         1.6296106874278148E-02         1.1000000000000000E+03         1.4229000000000788E+01                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -325                    0                  634                  638                 -323                   11
