,cluster_eng,sites,site_types,lattice_state,angles,neighboring,graph_multiplicity
CH3_Pt+OH_pair,0.136,2.0,Pt tM,"['1 CH3_Pt* 1', '2 OH* 1']",,1-2,
OH_Pt+H2O_pair,0.139,2.0,Pt tM,"['1 OH_Pt* 1', '2 H2O* 1']",,1-2,
COOH_Pt+H2O_pair,0.144,2.0,Pt tM,"['1 COOH_Pt* 1', '2 H2O* 1']",,1-2,
CHO+CH2_pair,-0.05,2.0,tC tC,"['1 CHO* 1', '2 CH2* 1']",,1-2,
CH+C_pair,-0.022,2.0,tC tC,"['1 CH* 1', '2 C* 1']",,1-2,
COOH+CH3_pair,0.016,2.0,tC tC,"['1 COOH* 1', '2 CH3* 1']",,1-2,
CH2+CH_pair,-0.105,2.0,tC tC,"['1 CH2* 1', '2 CH* 1']",,1-2,
CO2_Pt+H2O_pair,0.099,2.0,Pt tM,"['1 CO2_Pt* 1', '2 H2O* 1']",,1-2,
CH2_Pt+H2O_pair,0.12,2.0,Pt tM,"['1 CH2_Pt* 1', '2 H2O* 1']",,1-2,
CHO+CO2_pair,0.052,2.0,tC tC,"['1 CHO* 1', '2 CO2* 1']",,1-2,
COOH+CHO_pair,0.037,2.0,tC tC,"['1 COOH* 1', '2 CHO* 1']",,1-2,
O+CH2_pair,-0.079,2.0,tC tC,"['1 O* 1', '2 CH2* 1']",,1-2,
COOH+COOH_pair,-0.069,2.0,tC tC,"['1 COOH* 1', '2 COOH* 1']",,1-2,2.0
CO2+CH_pair,-0.241,2.0,tC tC,"['1 CO2* 1', '2 CH* 1']",,1-2,
COOH+CH_pair,0.029,2.0,tC tC,"['1 COOH* 1', '2 CH* 1']",,1-2,
CO2_Pt+OH_pair,0.006,2.0,Pt tM,"['1 CO2_Pt* 1', '2 OH* 1']",,1-2,
OH+CH_pair,-0.118,2.0,tM tC,"['1 OH* 1', '2 CH* 1']",,1-2,
CH_Pt+H2O_pair,0.162,2.0,Pt tM,"['1 CH_Pt* 1', '2 H2O* 1']",,1-2,
CHO+CHO_pair,-0.063,2.0,tC tC,"['1 CHO* 1', '2 CHO* 1']",,1-2,2.0
O+CH3_pair,0.034,2.0,tC tC,"['1 O* 1', '2 CH3* 1']",,1-2,
COOH+CO2_pair,-0.136,2.0,tC tC,"['1 COOH* 1', '2 CO2* 1']",,1-2,
CHO_Pt+OH_pair,0.264,2.0,Pt tM,"['1 CHO_Pt* 1', '2 OH* 1']",,1-2,
C+C_pair,0.096,2.0,tC tC,"['1 C* 1', '2 C* 1']",,1-2,2.0
CHO_Pt+H2O_pair,0.181,2.0,Pt tM,"['1 CHO_Pt* 1', '2 H2O* 1']",,1-2,
CHO+CO_pair,0.08,2.0,tC tC,"['1 CHO* 1', '2 CO* 1']",,1-2,
C_Pt+OH_pair,0.256,2.0,Pt tM,"['1 C_Pt* 1', '2 OH* 1']",,1-2,
CO2+CO2_pair,-0.062,2.0,tC tC,"['1 CO2* 1', '2 CO2* 1']",,1-2,2.0
CO2+O_pair,-0.162,2.0,tC tC,"['1 CO2* 1', '2 O* 1']",,1-2,
CO+CH_pair,0.002,2.0,tC tC,"['1 CO* 1', '2 CH* 1']",,1-2,
O_Pt+H2O_pair,0.117,2.0,Pt tM,"['1 O_Pt* 1', '2 H2O* 1']",,1-2,
CH2_Pt+OH_pair,0.008,2.0,Pt tM,"['1 CH2_Pt* 1', '2 OH* 1']",,1-2,
COOH+H_pair,-0.078,2.0,tC tC,"['1 COOH* 1', '2 H* 1']",,1-2,
H2O+H_pair,-0.077,2.0,tM tC,"['1 H2O* 1', '2 H* 1']",,1-2,
CO_Pt+H2O_pair,0.186,2.0,Pt tM,"['1 CO_Pt* 1', '2 H2O* 1']",,1-2,
CH2+CH2_pair,-0.12,2.0,tC tC,"['1 CH2* 1', '2 CH2* 1']",,1-2,2.0
CH3+CH2_pair,0.04,2.0,tC tC,"['1 CH3* 1', '2 CH2* 1']",,1-2,
CO2+C_pair,-0.168,2.0,tC tC,"['1 CO2* 1', '2 C* 1']",,1-2,
CH3+C_pair,0.022,2.0,tC tC,"['1 CH3* 1', '2 C* 1']",,1-2,
COOH+OH_pair,-0.124,2.0,tC tM,"['1 COOH* 1', '2 OH* 1']",,1-2,
OH+OH_pair,-0.088,2.0,tM tM,"['1 OH* 1', '2 OH* 1']",,1-2,2.0
CO2+OH_pair,-0.107,2.0,tC tM,"['1 CO2* 1', '2 OH* 1']",,1-2,
CHO+O_pair,-0.03,2.0,tC tC,"['1 CHO* 1', '2 O* 1']",,1-2,
CH3+CH3_pair,0.211,2.0,tC tC,"['1 CH3* 1', '2 CH3* 1']",,1-2,2.0
C_Pt+H2O_pair,0.209,2.0,Pt tM,"['1 C_Pt* 1', '2 H2O* 1']",,1-2,
CHO+C_pair,0.043,2.0,tC tC,"['1 CHO* 1', '2 C* 1']",,1-2,
OH+O_pair,-0.204,2.0,tM tC,"['1 OH* 1', '2 O* 1']",,1-2,
CHO+H2O_pair,-0.033,2.0,tC tM,"['1 CHO* 1', '2 H2O* 1']",,1-2,
CO2+CH3_pair,-0.363,2.0,tC tC,"['1 CO2* 1', '2 CH3* 1']",,1-2,
CHO+H_pair,0.024,2.0,tC tC,"['1 CHO* 1', '2 H* 1']",,1-2,
CH_Pt+OH_pair,0.32,2.0,Pt tM,"['1 CH_Pt* 1', '2 OH* 1']",,1-2,
OH+C_pair,-0.186,2.0,tM tC,"['1 OH* 1', '2 C* 1']",,1-2,
H2O+CH2_pair,0.003,2.0,tM tC,"['1 H2O* 1', '2 CH2* 1']",,1-2,
CO+H2O_pair,-0.023,2.0,tC tM,"['1 CO* 1', '2 H2O* 1']",,1-2,
CO+CO_pair,0.177,2.0,tC tC,"['1 CO* 1', '2 CO* 1']",,1-2,2.0
H2O+OH_pair,-0.043,2.0,tM tM,"['1 H2O* 1', '2 OH* 1']",,1-2,
H2O_Pt+OH_pair,-0.129,2.0,Pt tM,"['1 H2O_Pt* 1', '2 OH* 1']",,1-2,
H2O_Pt+H2O_pair,0.145,2.0,Pt tM,"['1 H2O_Pt* 1', '2 H2O* 1']",,1-2,
COOH+C_pair,0.033,2.0,tC tC,"['1 COOH* 1', '2 C* 1']",,1-2,
H2O+CH3_pair,-0.072,2.0,tM tC,"['1 H2O* 1', '2 CH3* 1']",,1-2,
H2O+C_pair,-0.019,2.0,tM tC,"['1 H2O* 1', '2 C* 1']",,1-2,
CHO+CH_pair,0.01,2.0,tC tC,"['1 CHO* 1', '2 CH* 1']",,1-2,
OH_Pt+OH_pair,0.143,2.0,Pt tM,"['1 OH_Pt* 1', '2 OH* 1']",,1-2,
CH3_Pt+H2O_pair,0.137,2.0,Pt tM,"['1 CH3_Pt* 1', '2 H2O* 1']",,1-2,
CO2+CH2_pair,-0.218,2.0,tC tC,"['1 CO2* 1', '2 CH2* 1']",,1-2,
COOH+O_pair,-0.023,2.0,tC tC,"['1 COOH* 1', '2 O* 1']",,1-2,
H2O+O_pair,-0.041,2.0,tM tC,"['1 H2O* 1', '2 O* 1']",,1-2,
CO+C_pair,0.117,2.0,tC tC,"['1 CO* 1', '2 C* 1']",,1-2,
COOH+H2O_pair,-0.023,2.0,tC tM,"['1 COOH* 1', '2 H2O* 1']",,1-2,
