               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 H2O*                  OH*                   O*                   H*                COOH*                   CO                  H2O                   H2                  CO2                   O2
                   1                    0         0.0000000000000000E+00         8.0000000000000000E+02         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 1000         2.4342174296887658E-05         8.0000000000000000E+02        -2.4390000000000001E+00                   1                    1                    0                    0                    0                    0                   -1                   -1                    0                    0                    0
                   3                 2000         2.4977618192304017E-05         8.0000000000000000E+02        -2.4390000000000001E+00                   1                    1                    0                    0                    0                    0                   -1                   -1                    0                    0                    0
                   4                 3000         3.6431817145878737E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   5                 4000         4.0107170215999384E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   6                 5000         4.0744519801326969E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   7                 6000         4.1380245637691448E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   8                 7000         4.5368113685954710E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                   9                 8000         4.5986685529511063E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  10                 9000         4.6601929732057377E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  11                10000         4.7218852867234539E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  12                11000         4.7863018667317481E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  13                12000         4.8503271540801359E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  14                13000         4.9096404924208603E-05         8.0000000000000000E+02        -3.9219999999999997E+00                   2                    0                    1                    0                    1                    0                   -2                   -1                    0                    0                    0
                  15                14000         9.8341125245984901E-05         8.0000000000000000E+02        -6.5930000000000639E+00                   3                    1                    0                    0                    0                    0                   -4                   -2                    1                    1                    0
                  16                15000         1.3776431679195290E-04         8.0000000000000000E+02        -1.0486000000000057E+01                   4                    0                    1                    0                    5                    0                   -7                   -4                    1                    3                    0
                  17                16000         1.5336809857021379E-04         8.0000000000000000E+02        -1.2384000000000059E+01                   4                    1                    0                    0                    6                    0                   -8                   -5                    1                    4                    0
                  18                17000         1.6695258918814499E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  19                18000         1.6756715900363218E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  20                19000         1.6821911164532845E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  21                20000         1.6884946813506470E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  22                21000         1.6957495824988366E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  23                22000         1.7021329047904149E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  24                23000         1.7082600113696748E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  25                24000         1.7148379971876091E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                   -9                   -5                    2                    4                    0
                  26                25000         1.8973466463784194E-04         8.0000000000000000E+02        -1.0531000000000057E+01                   4                    0                    1                    0                    5                    0                   -9                   -6                    3                    5                    0
                  27                26000         1.9059216161794617E-04         8.0000000000000000E+02        -1.0531000000000057E+01                   4                    0                    1                    0                    5                    0                   -9                   -6                    3                    5                    0
                  28                27000         1.9948461257539703E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                  -10                   -6                    3                    5                    0
                  29                28000         2.1673501745479617E-04         8.0000000000000000E+02        -1.3223000000000059E+01                   5                    1                    0                    0                    4                    0                  -11                   -7                    4                    6                    0
                  30                29000         2.2047810459131331E-04         8.0000000000000000E+02        -1.1508000000000060E+01                   4                    2                    0                    0                    4                    0                  -11                   -9                    5                    7                    0
                  31                30000         2.2128719455556071E-04         8.0000000000000000E+02        -9.9080000000000563E+00                   4                    1                    0                    0                    2                    0                  -11                   -8                    6                    7                    0
                  32                31000         2.3733876142880691E-04         8.0000000000000000E+02        -1.1370000000000053E+01                   5                    0                    1                    0                    3                    0                  -12                   -8                    6                    7                    0
                  33                32000         2.3826996283886798E-04         8.0000000000000000E+02        -1.1370000000000053E+01                   5                    0                    1                    0                    3                    0                  -12                   -8                    6                    7                    0
                  34                33000         2.7244359380493771E-04         8.0000000000000000E+02        -8.0760000000005885E+00                   4                    0                    1                    0                    1                    0                  -12                   -9                    8                    8                    0
                  35                34000         2.8000683331150429E-04         8.0000000000000000E+02        -7.1710000000014631E+00                   3                    0                    1                    0                    3                    0                  -12                  -10                    8                    9                    0
                  36                35000         3.1333794638107720E-04         8.0000000000000000E+02        -7.2370000000020438E+00                   3                    0                    1                    0                    3                    0                  -13                  -11                    9                   10                    0
                  37                36000         3.1399873300762423E-04         8.0000000000000000E+02        -7.2370000000020438E+00                   3                    0                    1                    0                    3                    0                  -13                  -11                    9                   10                    0
                  38                37000         3.1458540403529213E-04         8.0000000000000000E+02        -7.2370000000020438E+00                   3                    0                    1                    0                    3                    0                  -13                  -11                    9                   10                    0
                  39                38000         3.3064972764712644E-04         8.0000000000000000E+02        -1.1325000000002042E+01                   5                    0                    1                    0                    3                    0                  -15                  -11                    9                   10                    0
                  40                39000         3.3916107993090758E-04         8.0000000000000000E+02        -9.9080000000020441E+00                   4                    1                    0                    0                    2                    0                  -15                  -12                   10                   11                    0
                  41                40000         3.3974231581386917E-04         8.0000000000000000E+02        -9.9080000000020441E+00                   4                    1                    0                    0                    2                    0                  -15                  -12                   10                   11                    0
                  42                41000         3.4039386660136172E-04         8.0000000000000000E+02        -9.9080000000020441E+00                   4                    1                    0                    0                    2                    0                  -15                  -12                   10                   11                    0
                  43                42000         3.4085907555436642E-04         8.0000000000000000E+02        -9.6760000000020412E+00                   4                    1                    1                    0                    3                    0                  -15                  -13                   10                   11                    0
                  44                43000         3.4135006695263319E-04         8.0000000000000000E+02        -9.0690000000024273E+00                   3                    1                    0                    0                    4                    0                  -15                  -13                   10                   12                    0
                  45                44000         3.4201595924850554E-04         8.0000000000000000E+02        -9.0690000000033155E+00                   3                    1                    0                    0                    4                    0                  -15                  -13                   10                   12                    0
                  46                45000         3.4707505878420409E-04         8.0000000000000000E+02        -9.0690000000042019E+00                   3                    1                    0                    0                    4                    0                  -15                  -13                   10                   12                    0
                  47                46000         3.4771777435841159E-04         8.0000000000000000E+02        -7.2370000000050885E+00                   3                    0                    1                    0                    3                    0                  -15                  -13                   11                   12                    0
                  48                47000         3.5514793638553941E-04         8.0000000000000000E+02        -9.9080000000050887E+00                   4                    1                    0                    0                    2                    0                  -16                  -13                   11                   12                    0
                  49                48000         3.5577500937559499E-04         8.0000000000000000E+02        -9.9080000000050887E+00                   4                    1                    0                    0                    2                    0                  -16                  -13                   11                   12                    0
                  50                49000         3.5647495374137046E-04         8.0000000000000000E+02        -9.9080000000050887E+00                   4                    1                    0                    0                    2                    0                  -16                  -13                   11                   12                    0
                  51                50000         3.5707330859537545E-04         8.0000000000000000E+02        -9.9080000000050887E+00                   4                    1                    0                    0                    2                    0                  -16                  -13                   11                   12                    0
                  52                51000         3.5773051197524324E-04         8.0000000000000000E+02        -9.9080000000050887E+00                   4                    1                    0                    0                    2                    0                  -16                  -13                   11                   12                    0
                  53                52000         3.5833467056497077E-04         8.0000000000000000E+02        -9.9080000000050887E+00                   4                    1                    0                    0                    2                    0                  -16                  -13                   11                   12                    0
                  54                53000         3.5897788722847527E-04         8.0000000000000000E+02        -9.9080000000050887E+00                   4                    1                    0                    0                    2                    0                  -16                  -13                   11                   12                    0
                  55                54000         3.6784381663882012E-04         8.0000000000000000E+02        -9.5750000000050655E+00                   3                    0                    0                    0                    3                    1                  -16                  -13                   11                   12                    0
                  56                55000         3.9843830043007343E-04         8.0000000000000000E+02        -1.0784000000005049E+01                   4                    0                    0                    0                    4                    0                  -18                  -14                   12                   14                    0
                  57                56000         4.1998368146824926E-04         8.0000000000000000E+02        -9.9080000000050426E+00                   4                    1                    0                    0                    2                    0                  -19                  -16                   14                   15                    0
                  58                57000         4.3703384767402020E-04         8.0000000000000000E+02        -9.6470000000050291E+00                   3                    0                    1                    0                    7                    0                  -20                  -18                   14                   17                    0
                  59                58000         4.4633834465892429E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  60                59000         4.4697197407445532E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  61                60000         4.4757276137643670E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  62                61000         4.4823170226290283E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  63                62000         4.5009800810875001E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  64                63000         4.5074259754333731E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  65                64000         4.5137346716988782E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  66                65000         4.5204604263101114E-04         8.0000000000000000E+02        -6.3980000000050170E+00                   2                    0                    1                    0                    5                    0                  -20                  -19                   16                   18                    0
                  67                66000         5.0130916947290177E-04         8.0000000000000000E+02        -1.0465000000005015E+01                   4                    0                    1                    0                    5                    0                  -22                  -19                   16                   18                    0
                  68                67000         5.1717504703504636E-04         8.0000000000000000E+02        -6.3980000000050259E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  69                68000         5.1780218235592337E-04         8.0000000000000000E+02        -6.3980000000050259E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  70                69000         5.2004612972606488E-04         8.0000000000000000E+02        -6.3770000000050260E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  71                70000         5.2092700861393760E-04         8.0000000000000000E+02        -6.3770000000050260E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  72                71000         5.2182668304172981E-04         8.0000000000000000E+02        -6.3770000000050260E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  73                72000         5.2270042153277686E-04         8.0000000000000000E+02        -6.3770000000050260E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  74                73000         5.2355495999864251E-04         8.0000000000000000E+02        -6.3770000000050260E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  75                74000         5.2442808959287149E-04         8.0000000000000000E+02        -6.3770000000050260E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  76                75000         5.2527993489708219E-04         8.0000000000000000E+02        -6.3770000000050260E+00                   2                    0                    1                    0                    5                    0                  -22                  -21                   18                   20                    0
                  77                76000         5.5242325464107268E-04         8.0000000000000000E+02        -1.0465000000005023E+01                   4                    0                    1                    0                    5                    0                  -24                  -21                   18                   20                    0
                  78                77000         5.7178902464871477E-04         8.0000000000000000E+02        -1.0552000000005025E+01                   4                    0                    1                    0                    5                    0                  -24                  -21                   18                   20                    0
                  79                78000         5.7420015068647369E-04         8.0000000000000000E+02        -1.0552000000005025E+01                   4                    0                    1                    0                    5                    0                  -24                  -21                   18                   20                    0
                  80                79000         5.8640427081288070E-04         8.0000000000000000E+02        -9.9080000000050230E+00                   4                    1                    0                    0                    2                    0                  -24                  -21                   19                   20                    0
                  81                80000         5.9925256236908727E-04         8.0000000000000000E+02        -7.2370000000050139E+00                   3                    0                    1                    0                    3                    0                  -24                  -22                   20                   21                    0
                  82                81000         5.9992625850525971E-04         8.0000000000000000E+02        -7.2370000000050139E+00                   3                    0                    1                    0                    3                    0                  -24                  -22                   20                   21                    0
                  83                82000         6.0057017593860172E-04         8.0000000000000000E+02        -7.2370000000050139E+00                   3                    0                    1                    0                    3                    0                  -24                  -22                   20                   21                    0
                  84                83000         6.0120806145634337E-04         8.0000000000000000E+02        -7.2370000000050139E+00                   3                    0                    1                    0                    3                    0                  -24                  -22                   20                   21                    0
                  85                84000         6.0185184803159810E-04         8.0000000000000000E+02        -7.2370000000050139E+00                   3                    0                    1                    0                    3                    0                  -24                  -22                   20                   21                    0
                  86                85000         6.0251956827256500E-04         8.0000000000000000E+02        -7.2370000000050139E+00                   3                    0                    1                    0                    3                    0                  -24                  -22                   20                   21                    0
                  87                86000         6.0313638545144875E-04         8.0000000000000000E+02        -7.2370000000050139E+00                   3                    0                    1                    0                    3                    0                  -24                  -22                   20                   21                    0
                  88                87000         6.4296386641312948E-04         8.0000000000000000E+02        -9.9080000000050141E+00                   4                    1                    0                    0                    2                    0                  -26                  -23                   21                   22                    0
                  89                88000         6.5036855741251731E-04         8.0000000000000000E+02        -9.9080000000050035E+00                   4                    1                    0                    0                    2                    0                  -26                  -23                   21                   22                    0
                  90                89000         6.7075486934353365E-04         8.0000000000000000E+02        -7.2370000000049926E+00                   3                    0                    1                    0                    3                    0                  -26                  -24                   22                   23                    0
                  91                90000         6.7139506892079429E-04         8.0000000000000000E+02        -7.2370000000049926E+00                   3                    0                    1                    0                    3                    0                  -26                  -24                   22                   23                    0
                  92                91000         6.9072129817489476E-04         8.0000000000000000E+02        -7.2370000000049926E+00                   3                    0                    1                    0                    3                    0                  -26                  -24                   22                   23                    0
                  93                92000         7.2187939212612652E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                  94                93000         7.2251020240921688E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                  95                94000         7.2319518196074838E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                  96                95000         7.2387241394743869E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                  97                96000         7.2584185891982737E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                  98                97000         7.2647174108913983E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                  99                98000         7.2707234574722820E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                 100                99000         7.2769195682476149E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                 101               100000         7.2837364262017532E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                 102               101000         7.2899103532538391E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                 103               102000         7.2960039758885242E-04         8.0000000000000000E+02        -3.0830000000052289E+00                   1                    0                    1                    0                    3                    0                  -26                  -26                   24                   25                    0
                 104               103000         7.6369832820359900E-04         8.0000000000000000E+02        -1.0747000000005229E+01                   5                    1                    0                    0                    0                    0                  -30                  -26                   25                   25                    0
                 105               104000         7.6434794786714542E-04         8.0000000000000000E+02        -1.0747000000005229E+01                   5                    1                    0                    0                    0                    0                  -30                  -26                   25                   25                    0
                 106               105000         7.6498636041329236E-04         8.0000000000000000E+02        -1.0747000000005229E+01                   5                    1                    0                    0                    0                    0                  -30                  -26                   25                   25                    0
                 107               106000         7.7962903132313907E-04         8.0000000000000000E+02        -1.0747000000005229E+01                   5                    1                    0                    0                    0                    0                  -30                  -26                   25                   25                    0
                 108               107000         7.8004203896107015E-04         8.0000000000000000E+02        -1.0515000000005228E+01                   5                    1                    1                    0                    1                    0                  -30                  -27                   25                   25                    0
                 109               108000         7.8044363487158501E-04         8.0000000000000000E+02        -9.6760000000052280E+00                   4                    1                    1                    0                    3                    0                  -30                  -28                   25                   26                    0
                 110               109000         7.8125643235973040E-04         8.0000000000000000E+02        -9.9080000000052291E+00                   4                    1                    0                    0                    2                    0                  -30                  -27                   25                   26                    0
                 111               110000         7.9507177381672549E-04         8.0000000000000000E+02        -9.9080000000052291E+00                   4                    1                    0                    0                    2                    0                  -30                  -27                   25                   26                    0
                 112               111000         7.9575036955699060E-04         8.0000000000000000E+02        -9.9080000000052291E+00                   4                    1                    0                    0                    2                    0                  -30                  -27                   25                   26                    0
                 113               112000         7.9640944827357439E-04         8.0000000000000000E+02        -9.9080000000052291E+00                   4                    1                    0                    0                    2                    0                  -30                  -27                   25                   26                    0
                 114               113000         8.0492831858952423E-04         8.0000000000000000E+02        -9.9080000000052202E+00                   4                    1                    0                    0                    2                    0                  -30                  -27                   25                   26                    0
                 115               114000         8.8023921316658313E-04         8.0000000000000000E+02        -1.1391000000005210E+01                   5                    0                    1                    0                    3                    0                  -31                  -27                   25                   26                    0
                 116               115000         8.8082414082711461E-04         8.0000000000000000E+02        -1.1391000000005210E+01                   5                    0                    1                    0                    3                    0                  -31                  -27                   25                   26                    0
                 117               116000         9.0503452157671940E-04         8.0000000000000000E+02        -1.4062000000005211E+01                   6                    1                    0                    0                    2                    0                  -32                  -27                   25                   26                    0
                 118               117000         9.3022739600449791E-04         8.0000000000000000E+02        -6.5930000000052580E+00                   3                    1                    0                    0                    0                    0                  -32                  -30                   29                   29                    0
                 119               118000         9.3083261428478822E-04         8.0000000000000000E+02        -6.5930000000052580E+00                   3                    1                    0                    0                    0                    0                  -32                  -30                   29                   29                    0
                 120               119000         9.3142708843866272E-04         8.0000000000000000E+02        -6.5930000000052580E+00                   3                    1                    0                    0                    0                    0                  -32                  -30                   29                   29                    0
                 121               120000         9.3202510617853293E-04         8.0000000000000000E+02        -6.5930000000052580E+00                   3                    1                    0                    0                    0                    0                  -32                  -30                   29                   29                    0
                 122               121000         9.3265039921872420E-04         8.0000000000000000E+02        -6.5930000000052580E+00                   3                    1                    0                    0                    0                    0                  -32                  -30                   29                   29                    0
                 123               122000         9.3328045020368009E-04         8.0000000000000000E+02        -6.5930000000052580E+00                   3                    1                    0                    0                    0                    0                  -32                  -30                   29                   29                    0
