               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         5.8635308498473610E-06         1.0000000000000000E+03        -7.4829000000010922E+01                   0                    0                   58                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -29                    0                    0                    0                    0
                   3                16000         1.1137856828484742E-05         1.0000000000000000E+03        -9.9600000000011477E+01                   0                    0                   78                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -39                    0                    0                    0                    0
                   4                24000         1.8534086458523648E-05         1.0000000000000000E+03        -1.0447500000001162E+02                   0                    0                   82                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -41                    0                    0                    0                    0
                   5                32000         2.8282928986389213E-05         1.0000000000000000E+03        -1.0925100000001180E+02                   0                    0                   86                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -43                    0                    0                    0                    0
                   6                40000         3.9804832555440937E-05         1.0000000000000000E+03        -1.1160600000001190E+02                   0                    0                   88                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -44                    0                    0                    0                    0
                   7                48000         5.1278887061885249E-05         1.0000000000000000E+03        -1.1160600000001190E+02                   0                    0                   88                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -44                    0                    0                    0                    0
                   8                56000         6.6147955036572831E-05         1.0000000000000000E+03        -1.1641500000001207E+02                   0                    0                   92                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -46                    0                    0                    0                    0
                   9                64000         8.2836688476013007E-05         1.0000000000000000E+03        -1.1641500000001207E+02                   0                    0                   92                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -46                    0                    0                    0                    0
                  10                72000         1.0325754553762442E-04         1.0000000000000000E+03        -1.1880300000001216E+02                   0                    0                   94                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -47                    0                    0                    0                    0
                  11                80000         1.5265735092065229E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  12                88000         2.1644000176414391E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  13                96000         2.8012049268935212E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  14               104000         3.4253721909673144E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  15               112000         4.0483816892484761E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  16               120000         4.6682120890924149E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  17               128000         5.2951903394704482E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  18               136000         5.9217900694830377E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  19               144000         6.5315626606006331E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  20               152000         7.1589098501550184E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  21               160000         7.7807317932940300E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  22               168000         8.4003843049445083E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  23               176000         9.0371958558156564E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  24               184000         9.6606016603158554E-04         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  25               192000         1.0292330010585162E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  26               200000         1.0910333243993083E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  27               208000         1.1542284498413454E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  28               216000         1.2162138500430601E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  29               224000         1.2776614092958570E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  30               232000         1.3415069878114140E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  31               240000         1.4040968654357852E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  32               248000         1.4656094035425215E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  33               256000         1.5273713222494181E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  34               264000         1.5918818604556799E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
                  35               272000         1.6537051217619860E-03         1.0000000000000000E+03        -1.2361200000001233E+02                   0                    0                   98                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -49                    0                    0                    0                    0
