               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.1000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         9.6360643526582146E-08         1.1000000000000000E+03        -9.1899999999984605E-01                   8                    0                    0                    0                    7                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -8                    0                    0                   12                    0                    0
                   3               200000         2.4953754007872830E-04         1.1000000000000000E+03         4.4570000000001500E+00                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -10                    0                    1                   19                   -1                    0
                   4               300000         5.0727825158556760E-04         1.1000000000000000E+03         1.1806500000000185E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -15                    0                    6                   30                   -3                    0
                   5               400000         2.2930934404946980E-03         1.1000000000000000E+03         1.4228999999999978E+01                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -20                    0                   13                   39                   -7                    0
                   6               500000         5.9450497943235227E-03         1.1000000000000000E+03         4.4859999999999731E+00                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -22                    0                   25                   43                  -13                    0
                   7               600000         5.9452223770341357E-03         1.1000000000000000E+03         5.7479999999999833E+00                   8                    1                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -23                    0                   25                   44                  -13                    0
                   8               700000         5.9455121541171895E-03         1.1000000000000000E+03         1.1764999999999928E+01                   8                    1                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -25                    0                   25                   49                  -13                    0
                   9               800000         5.9475479067267771E-03         1.1000000000000000E+03         1.5228500000000166E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -27                    0                   26                   53                  -13                    0
                  10               900000         9.7056846277791074E-03         1.1000000000000000E+03         4.5010000000032520E+00                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -33                    0                   47                   65                  -24                    0
                  11              1000000         9.9999605814803851E-03         1.1000000000000000E+03         9.9400000000033550E+00                   8                    1                    0                    0                    5                    1                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                  -38                    0                   49                   72                  -25                    0
                  12              1100000         1.1427112488796598E-02         1.1000000000000000E+03         2.1671500000007615E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -43                    0                   54                   86                  -27                    0
                  13              1200000         1.3496026041377226E-02         1.1000000000000000E+03         1.9135500000007614E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -47                    0                   64                   94                  -32                    0
                  14              1300000         1.5368007517092813E-02         1.1000000000000000E+03         1.5272500000008614E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -52                    0                   76                  103                  -38                    0
                  15              1400000         1.6050433085334926E-02         1.1000000000000000E+03         2.2274000000011942E+01                   8                    1                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -57                    0                   79                  112                  -40                    0
                  16              1500000         1.6054008956213055E-02         1.1000000000000000E+03         2.2338500000011937E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -57                    0                   80                  113                  -40                    0
                  17              1600000         1.9960217459430527E-02         1.1000000000000000E+03         7.8995000000129814E+00                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -62                    0                  102                  123                  -51                    0
                  18              1700000         2.3840995189322995E-02         1.1000000000000000E+03         7.9080000000128168E+00                   8                    1                    0                    0                    2                    1                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -70                    0                  117                  138                  -59                    0
                  19              1800000         2.8444185773841758E-02         1.1000000000000000E+03         1.6692500000013155E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -79                    0                  130                  158                  -65                    0
                  20              1900000         3.2814596483641274E-02         1.1000000000000000E+03         2.6464500000018997E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -89                    0                  142                  178                  -71                    0
                  21              2000000         3.5709082476859964E-02         1.1000000000000000E+03         3.1443500000019004E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -93                    0                  146                  186                  -73                    0
                  22              2100000         4.0586575794531600E-02         1.1000000000000000E+03         2.0114500000020197E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -103                    0                  175                  204                  -88                    1
                  23              2200000         4.5851877542124407E-02         1.1000000000000000E+03         1.9006500000023053E+01                   9                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -110                    0                  189                  217                  -95                    1
                  24              2300000         5.3005553131964346E-02         1.1000000000000000E+03         1.1655500000025748E+01                   9                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -120                    0                  215                  237                 -108                    1
                  25              2400000         5.6234259075135691E-02         1.1000000000000000E+03         1.4657000000025462E+01                   8                    1                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -126                    0                  226                  250                 -114                    1
                  26              2500000         5.8619728478634031E-02         1.1000000000000000E+03         1.1945500000024934E+01                   9                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -134                    0                  243                  265                 -122                    1
                  27              2600000         6.0791471016017451E-02         1.1000000000000000E+03         1.1194000000024836E+01                   8                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                 -137                    0                  250                  272                 -126                    1
                  28              2700000         6.3524457108519256E-02         1.1000000000000000E+03         7.8955000000256232E+00                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -147                    0                  274                  291                 -138                    2
                  29              2800000         6.5225297978574640E-02         1.1000000000000000E+03         1.5672000000026578E+01                   8                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -154                    0                  283                  306                 -143                    2
                  30              2900000         6.7147555531838293E-02         1.1000000000000000E+03         1.8788500000026783E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -162                    0                  295                  321                 -149                    2
                  31              3000000         7.3429133982513925E-02         1.1000000000000000E+03         1.3902500000031232E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -171                    0                  317                  339                 -160                    2
                  32              3100000         7.9190892972219082E-02         1.1000000000000000E+03         1.2785500000031570E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -180                    0                  336                  357                 -169                    2
                  33              3200000         8.3791773759178734E-02         1.1000000000000000E+03         1.3106000000031436E+01                   8                    1                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -192                    0                  359                  380                 -181                    2
                  34              3300000         8.7225548758784119E-02         1.1000000000000000E+03         1.6692500000035722E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -197                    0                  369                  391                 -186                    3
                  35              3400000         9.0389596426396768E-02         1.1000000000000000E+03         2.1578500000037803E+01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -204                    0                  379                  405                 -191                    3
                  36              3500000         9.4183535527724072E-02         1.1000000000000000E+03         2.6313500000037806E+01                   9                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -212                    0                  389                  419                 -196                    3
                  37              3600000         9.8007648219502780E-02         1.1000000000000000E+03         2.9778500000037809E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -216                    0                  395                  429                 -200                    3
                  38              3700000         1.0149465158926445E-01         1.1000000000000000E+03         3.7308500000040247E+01                   9                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   13                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                 -224                    0                  405                  444                 -204                    3
                  39              3800000         1.0526081970016246E-01         1.1000000000000000E+03         2.7980000000039773E+01                   8                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -229                    0                  424                  455                 -214                    3
