               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         1.0797270790736328E-03         1.0000000000000000E+03         5.3254999999998851E+01                   0                    1                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                   15                    0                    0                    0                  -24                    0                    0                   47                    0                    0
                   3               200000         1.5303530192610551E-03         1.0000000000000000E+03         6.3048999999998621E+01                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   18                    0                    0                    0                  -28                    0                    0                   55                    0                    0
                   4               300000         1.6083828599621928E-03         1.0000000000000000E+03         6.7953999999992121E+01                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   20                    0                    0                    0                  -30                    0                    0                   59                    0                    0
                   5               400000         2.5832178680637442E-03         1.0000000000000000E+03         8.2589999999992116E+01                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   26                    0                    0                    0                  -36                    0                    0                   71                    0                    0
                   6               500000         2.7340005425362888E-03         1.0000000000000000E+03         9.2610999999992060E+01                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   29                    0                    0                    0                  -40                    0                    0                   79                    0                    0
                   7               600000         2.8678816015043056E-03         1.0000000000000000E+03         9.6691999999992021E+01                   0                    3                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   32                    0                    0                    0                  -42                    0                    0                   82                    0                    0
                   8               700000         3.1088759339001674E-03         1.0000000000000000E+03         1.0399099999999198E+02                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   34                    0                    0                    0                  -45                    0                    0                   88                    0                    0
                   9               800000         3.1129264968496329E-03         1.0000000000000000E+03         1.0539799999999201E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    1                    2                   34                    0                    0                    0                  -46                    0                    0                   90                    0                    0
                  10               900000         3.2946795772925753E-03         1.0000000000000000E+03         1.0838699999999200E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    3                   35                    0                    0                    0                  -47                    0                    0                   92                    0                    0
                  11              1000000         3.3852060928943619E-03         1.0000000000000000E+03         1.1292899999999197E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   38                    0                    0                    0                  -48                    0                    0                   95                    0                    0
                  12              1100000         3.3911069363152337E-03         1.0000000000000000E+03         1.1211099999999203E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   37                    0                    0                    0                  -48                    0                    0                   95                    0                    0
                  13              1200000         3.3970293181139594E-03         1.0000000000000000E+03         1.1238999999999200E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   37                    0                    0                    0                  -48                    0                    0                   95                    0                    0
                  14              1300000         3.4026966416014302E-03         1.0000000000000000E+03         1.1094099999999202E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    2                    2                   36                    0                    0                    0                  -49                    0                    0                   95                    0                    0
