               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                  23              2200000         1.2337723787625120E-04         1.0000000000000000E+03         1.5288400000181940E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    3                    4                   51                    0                    0                    0                  -71                   -2                    4                  137                    0                    0
                  24              2300000         1.2728346855731503E-04         1.0000000000000000E+03         1.5246700000181920E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    5                    2                   52                    0                    0                    0                  -72                   -2                    4                  138                    0                    0
                  25              2400000         1.3095980363609123E-04         1.0000000000000000E+03         1.5460300000181937E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    1                    7                   51                    0                    0                    0                  -72                   -2                    4                  139                    0                    0
                  26              2500000         1.3349296628016656E-04         1.0000000000000000E+03         1.5538700000181944E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    2                    5                   52                    0                    0                    0                  -72                   -2                    4                  139                    0                    0
                  27              2600000         1.6013668110630825E-04         1.0000000000000000E+03         1.6442500000181928E+02                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    9                   10                   52                    0                    0                    0                  -84                   -2                    4                  153                    0                    0
                  28              2700000         1.9986868082913441E-04         1.0000000000000000E+03         1.6987400000181901E+02                   0                    0                    1                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                   17                    5                   56                    0                    0                    0                  -91                   -2                    4                  161                    0                    0
                  29              2800000         2.4063256343123600E-04         1.0000000000000000E+03         1.8809600000181939E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   18                   10                   59                    0                    0                    0                 -100                   -2                    4                  177                    0                    0
                  30              2900000         2.9363073728066173E-04         1.0000000000000000E+03         1.9136100000181912E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   25                   11                   59                    0                    0                    0                 -108                   -2                    4                  185                    0                    0
                  31              3000000         4.4151310657949744E-04         1.0000000000000000E+03         1.8737200000181872E+02                   0                    0                    0                    0                    0                    0                    0                    2                    0                    7                    0                    0                    0                    0                    0                    0                    0                   36                   10                   57                    0                    0                    0                 -116                   -2                    4                  189                    0                    0
                  32              3100000         6.2126764111253350E-04         1.0000000000000000E+03         1.8740500000181854E+02                   0                    0                    0                    0                    0                    0                    0                    0                    2                    7                    0                    0                    0                    0                    0                    0                    0                   39                   10                   56                    0                    0                    0                 -118                   -2                    4                  191                    0                    0
                  33              3200000         1.0858572623066703E-03         1.0000000000000000E+03         1.8618700000181852E+02                   0                    1                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                   39                   14                   53                    0                    0                    0                 -119                   -2                    4                  191                    0                    0
                  34              3300000         1.4661908133568574E-03         1.0000000000000000E+03         1.8511000000181843E+02                   0                    1                    0                    0                    0                    0                    0                    1                    0                    8                    0                    0                    0                    0                    0                    0                    0                   41                   13                   53                    0                    0                    0                 -120                   -2                    4                  191                    0                    0
                  35              3400000         1.8936537983087144E-03         1.0000000000000000E+03         1.8364600000181827E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   47                    4                   56                    0                    0                    0                 -120                   -2                    4                  191                    0                    0
                  36              3500000         2.3566037713175308E-03         1.0000000000000000E+03         1.8589300000181854E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   40                   13                   53                    0                    0                    0                 -119                   -2                    4                  191                    0                    0
                  37              3600000         2.6073393252354078E-03         1.0000000000000000E+03         1.8776900000181865E+02                   0                    1                    0                    0                    0                    0                    0                    1                    0                    8                    0                    0                    0                    0                    0                    0                    0                   41                   11                   55                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  38              3700000         3.3383432996798544E-03         1.0000000000000000E+03         1.8584000000181851E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   40                   15                   52                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  39              3800000         5.2443300119881979E-03         1.0000000000000000E+03         1.8575700000181831E+02                   0                    0                    0                    0                    0                    0                    0                    1                    0                    8                    0                    0                    0                    0                    0                    0                    0                   44                    6                   57                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  40              3900000         1.3645265848678955E-02         1.0000000000000000E+03         1.8501800000181839E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   42                   11                   54                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  41              4000000         2.2311077192606985E-02         1.0000000000000000E+03         1.8497300000181829E+02                   0                    0                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                   42                   11                   54                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  42              4100000         2.8934725527342532E-02         1.0000000000000000E+03         1.8594600000181836E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   45                    6                   56                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  43              4200000         3.5408538875656231E-02         1.0000000000000000E+03         1.8641700000181851E+02                   0                    0                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                   42                   11                   54                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  44              4300000         4.5259712166904248E-02         1.0000000000000000E+03         1.8452000000181835E+02                   0                    1                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                   41                   12                   54                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  45              4400000         5.4016888151548079E-02         1.0000000000000000E+03         1.8699300000181850E+02                   0                    1                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                   42                   10                   55                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  46              4500000         6.3869716661253031E-02         1.0000000000000000E+03         1.8651200000181839E+02                   0                    0                    1                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                   44                    5                   58                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  47              4600000         7.4751985099686211E-02         1.0000000000000000E+03         1.8561800000181853E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                   40                   16                   52                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  48              4700000         8.5837923560282137E-02         1.0000000000000000E+03         1.8491900000181829E+02                   0                    0                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                   43                    9                   55                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  49              4800000         9.3908255509022001E-02         1.0000000000000000E+03         1.8525500000181842E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   40                   16                   51                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
                  50              4900000         1.0522330959544478E-01         1.0000000000000000E+03         1.8556900000181835E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                   44                    7                   56                    0                    0                    0                 -120                   -2                    4                  192                    0                    0
