               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         3.5001041250596796E-05         1.0000000000000000E+03        -6.8139999999981455E+00                   0                    5                    0                   16                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    1                    0                  -29                  -27                    4                   52                   15                    3
                   3               200000         3.8447872512559848E-05         1.0000000000000000E+03        -1.3875000000036788E+01                   0                    5                    0                   18                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -31                  -31                    5                   56                   17                    3
                   4               300000         4.0927694059965137E-05         1.0000000000000000E+03        -8.4140000001369213E+00                   0                    3                    0                   17                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -33                  -32                    5                   61                   19                    3
                   5               400000         4.4410575928509056E-05         1.0000000000000000E+03        -6.3720000001716821E+00                   0                    6                    0                   14                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    2                    0                  -39                  -35                    7                   71                   22                    3
                   6               500000         4.8997743455297439E-05         1.0000000000000000E+03        -7.2200000001600912E+00                   0                    3                    0                   14                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -42                  -39                    8                   78                   25                    4
                   7               600000         5.0780276485493224E-05         1.0000000000000000E+03        -5.7690000002045894E+00                   0                    3                    0                   14                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    3                    0                  -45                  -41                   10                   82                   25                    5
                   8               700000         5.4800097418852401E-05         1.0000000000000000E+03        -1.0352000000222260E+01                   0                    3                    0                   13                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                  -48                  -44                   12                   88                   27                    5
                   9               800000         5.6823815602539039E-05         1.0000000000000000E+03        -7.8510000002291074E+00                   0                   11                    0                   16                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    1                    0                  -53                  -47                   12                   95                   30                    5
                  10               900000         6.3610089630719224E-05         1.0000000000000000E+03        -1.0474000000239966E+01                   0                    4                    0                   16                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -58                  -54                   14                  107                   35                    6
                  11              1000000         6.7398358405045978E-05         1.0000000000000000E+03        -1.4463000000247082E+01                   0                    1                    0                   23                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -60                  -59                   15                  112                   36                    7
                  12              1100000         6.9865638308652133E-05         1.0000000000000000E+03        -1.7738000000246824E+01                   0                    3                    0                   22                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -63                  -62                   15                  117                   39                    7
                  13              1200000         7.3628318670464129E-05         1.0000000000000000E+03        -1.1207000000325356E+01                   0                    4                    0                   17                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -67                  -64                   16                  122                   42                    9
                  14              1300000         7.9882648724660055E-05         1.0000000000000000E+03        -9.0680000003702546E+00                   0                    1                    0                   17                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -72                  -69                   17                  133                   46                   10
                  15              1400000         8.6673678745444820E-05         1.0000000000000000E+03        -1.3059000000368776E+01                   0                    2                    0                   17                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -76                  -74                   17                  139                   50                   11
                  16              1500000         9.9888340328450347E-05         1.0000000000000000E+03        -1.7892000000364494E+01                   0                    3                    0                   22                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -89                  -91                   17                  161                   63                   15
                  17              1600000         1.0178884855260649E-04         1.0000000000000000E+03        -1.1556000000379463E+01                   0                    4                    0                   17                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -91                  -91                   17                  163                   65                   16
                  18              1700000         1.0606740587276385E-04         1.0000000000000000E+03        -1.7009000000427303E+01                   0                    4                    0                   19                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -94                  -96                   17                  168                   68                   17
                  19              1800000         1.0914708558265594E-04         1.0000000000000000E+03        -5.3260000004465917E+00                   0                    3                    0                   15                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -97                  -96                   17                  175                   71                   17
                  20              1900000         1.1190699718650508E-04         1.0000000000000000E+03        -1.1814000000487464E+01                   0                    1                    0                   21                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -97                  -99                   17                  176                   71                   17
                  21              2000000         1.1725960313854694E-04         1.0000000000000000E+03        -1.5901000000493145E+01                   0                    2                    0                   18                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                 -101                 -103                   18                  181                   74                   18
                  22              2100000         1.2082868235852002E-04         1.0000000000000000E+03        -1.7097000000497161E+01                   0                    1                    0                   25                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                 -102                 -106                   18                  185                   75                   18
                  23              2200000         1.2326417767456131E-04         1.0000000000000000E+03        -1.9871000000528174E+01                   0                    7                    0                   21                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    3                    0                 -105                 -107                   18                  187                   77                   18
                  24              2300000         1.2485021174531047E-04         1.0000000000000000E+03        -1.8329000000542131E+01                   0                    3                    0                   21                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                 -105                 -109                   18                  187                   78                   20
                  25              2400000         1.2675684926539551E-04         1.0000000000000000E+03        -1.8863000000564025E+01                   1                    4                    0                   21                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                 -106                 -109                   18                  187                   78                   20
                  26              2500000         1.2825546209210506E-04         1.0000000000000000E+03        -2.3918000000564515E+01                   0                    6                    0                   17                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                 -107                 -110                   19                  188                   79                   20
                  27              2600000         1.5685846746650695E-04         1.0000000000000000E+03        -5.5540000005779540E+00                   0                    2                    0                   17                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -135                 -136                   26                  240                  100                   29
                  28              2700000         2.0957070558171411E-04         1.0000000000000000E+03        -4.8410000005834046E+00                   0                    3                    0                   15                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                 -177                 -177                   36                  312                  131                   40
