               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         3.7632883639444910E-07         1.0000000000000000E+03        -2.5174999999999992E+00                   1                    0                    1                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -1                    0                    0                    1                   -1                    0
                   3               200000         5.4084441940359262E-07         1.0000000000000000E+03        -5.8169999999999904E+00                   2                    1                    1                    0                    2                    2                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -2                    0                    0                    2                   -2                    0
                   4               300000         6.2507847567771806E-07         1.0000000000000000E+03        -5.6029999999999864E+00                   2                    1                    1                    0                    1                    3                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -2                    0                    0                    2                   -2                    0
                   5               400000         7.1106716921649175E-07         1.0000000000000000E+03        -4.1599999999999824E+00                   2                    1                    1                    0                    0                    2                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -2                    0                    0                    3                   -2                    0
                   6               500000         7.9643876618925959E-07         1.0000000000000000E+03        -7.1179999999999799E+00                   4                    1                    1                    0                    6                    2                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -4                    0                    0                    4                   -2                    0
                   7               600000         8.6631110680135651E-07         1.0000000000000000E+03        -1.2914999999999978E+01                   4                    1                    4                    0                    7                    1                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -4                    0                    0                    4                   -5                    0
                   8               700000         9.2318012811132260E-07         1.0000000000000000E+03        -1.1390999999999980E+01                   4                    1                    3                    0                    5                    3                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -4                    0                    0                    4                   -4                    0
                   9               800000         1.0063081654886477E-06         1.0000000000000000E+03        -1.1075999999999983E+01                   4                    1                    3                    0                    7                    1                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -4                    0                    0                    4                   -4                    0
                  10               900000         1.0711059102205676E-06         1.0000000000000000E+03        -7.8584999999999896E+00                   5                    0                    2                    0                    4                    2                    0                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -4                    0                    0                    5                   -3                    0
