               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         6.4138313641091395E-06         1.0000000000000000E+03        -1.1857999999996201E+01                   0                    4                    0                   17                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -13                  -13                    1                   23                    3                    0
                   3               200000         9.0734077450416417E-06         1.0000000000000000E+03        -1.2480000000066244E+01                   0                    3                    0                   18                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -14                  -15                    1                   25                    4                    1
                   4               300000         1.1355915367757235E-05         1.0000000000000000E+03        -1.3750000000081307E+01                   0                    2                    0                   20                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -16                  -18                    1                   29                    6                    1
                   5               400000         1.3888089450057865E-05         1.0000000000000000E+03        -1.8365000000082183E+01                   0                    1                    0                   24                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -17                  -21                    1                   32                    7                    1
                   6               500000         1.6314490701329789E-05         1.0000000000000000E+03        -2.0904000000083268E+01                   0                    6                    0                   19                    0                    0                    1                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -21                  -24                    1                   37                   12                    1
                   7               600000         1.7969391740371743E-05         1.0000000000000000E+03        -1.8912000000084646E+01                   0                    6                    0                   14                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                  -24                  -25                    1                   41                   14                    1
                   8               700000         1.9596598392754364E-05         1.0000000000000000E+03        -2.7070000000104653E+01                   0                    9                    0                   22                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                  -25                  -29                    1                   43                   15                    1
                   9               800000         2.0716418666216078E-05         1.0000000000000000E+03        -2.7643000000104987E+01                   0                    6                    0                   20                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                  -26                  -30                    1                   45                   16                    1
                  10               900000         2.2189722596843994E-05         1.0000000000000000E+03        -3.4122000000105089E+01                   0                    9                    0                   22                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                  -27                  -32                    2                   45                   16                    1
                  11              1000000         2.3444156436900256E-05         1.0000000000000000E+03        -3.7465000000105128E+01                   0                    4                    0                   24                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                  -27                  -34                    2                   47                   16                    1
                  12              1100000         2.4621581065875094E-05         1.0000000000000000E+03        -3.9781000000105109E+01                   0                    6                    0                   24                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                  -29                  -36                    2                   50                   18                    1
                  13              1200000         2.5783135953162906E-05         1.0000000000000000E+03        -4.7331000000105114E+01                   0                    7                    0                   31                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                  -30                  -40                    2                   52                   19                    1
                  14              1300000         2.6948116718800989E-05         1.0000000000000000E+03        -5.1912000000105131E+01                   0                    7                    0                   32                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                  -31                  -42                    2                   53                   20                    1
                  15              1400000         2.7960560946645365E-05         1.0000000000000000E+03        -6.1031000000105145E+01                   0                    6                    0                   39                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                  -31                  -46                    2                   53                   20                    1
                  16              1500000         2.8663434442770587E-05         1.0000000000000000E+03        -6.3195000000104301E+01                   0                    5                    0                   40                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                  -31                  -47                    2                   53                   20                    1
                  17              1600000         2.9305102916909073E-05         1.0000000000000000E+03        -6.7663999999668135E+01                   0                    9                    0                   38                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                   13                    0                  -33                  -48                    2                   54                   21                    1
                  18              1700000         2.9944363282146508E-05         1.0000000000000000E+03        -6.8056999999664455E+01                   0                    9                    0                   37                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   13                    0                  -33                  -48                    3                   54                   21                    1
                  19              1800000         3.0515139086115870E-05         1.0000000000000000E+03        -6.8015999999664501E+01                   0                   11                    0                   39                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                  -33                  -48                    3                   54                   21                    1
                  20              1900000         3.1059651695392016E-05         1.0000000000000000E+03        -7.0787999999663853E+01                   0                    9                    0                   39                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   13                    0                  -33                  -49                    3                   54                   21                    1
                  21              2000000         3.1574224842255877E-05         1.0000000000000000E+03        -7.2687999999663788E+01                   0                   14                    0                   37                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   12                    0                  -34                  -49                    3                   54                   22                    1
                  22              2100000         3.2323379748388776E-05         1.0000000000000000E+03        -7.1918999999663711E+01                   0                   11                    0                   31                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   17                    0                  -35                  -49                    3                   55                   23                    1
                  23              2200000         3.3127436554222483E-05         1.0000000000000000E+03        -7.5338999999663713E+01                   0                   12                    0                   34                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   16                    0                  -35                  -50                    3                   55                   23                    1
                  24              2300000         3.3852086223101603E-05         1.0000000000000000E+03        -7.4040999999663740E+01                   0                   11                    0                   35                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   15                    0                  -35                  -50                    3                   56                   23                    1
                  25              2400000         3.4657742910403446E-05         1.0000000000000000E+03        -7.7764999999663658E+01                   0                   11                    0                   35                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   17                    0                  -36                  -52                    3                   57                   24                    1
