               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         6.1891853795620452E-04         1.0000000000000000E+03         1.7682999999994450E+01                   0                    2                    0                    1                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                  -48                  -29                   20                   94                   18                    1
                   3               200000         1.3363305111913466E-03         1.0000000000000000E+03         1.1485999999989396E+01                   0                    1                    0                    2                    0                    0                    1                    0                    1                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -78                  -53                   36                  154                   33                    1
                   4               300000         1.9232071195819866E-03         1.0000000000000000E+03         1.0156999999988562E+01                   0                    2                    0                    3                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -113                  -83                   47                  224                   57                    1
                   5               400000         2.6711409974535757E-03         1.0000000000000000E+03         1.4052999999986499E+01                   0                    2                    0                    0                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -142                 -105                   59                  281                   74                    2
                   6               500000         3.4354755236635634E-03         1.0000000000000000E+03         1.0231999999983763E+01                   0                    0                    0                    2                    0                    0                    2                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -174                 -128                   80                  346                   85                    2
                   7               600000         4.2446657674279709E-03         1.0000000000000000E+03         1.0116999999980683E+01                   0                    2                    0                    3                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -210                 -158                   92                  417                  109                    2
                   8               700000         4.9544559980730964E-03         1.0000000000000000E+03         1.5283999999979624E+01                   0                    1                    0                    1                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -250                 -186                  113                  497                  128                    2
                   9               800000         5.5195920759355827E-03         1.0000000000000000E+03         1.6624999999957360E+01                   0                    0                    0                    1                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -283                 -211                  129                  564                  145                    2
                  10               900000         6.0021181978706685E-03         1.0000000000000000E+03         1.6661999999950520E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -308                 -232                  136                  613                  163                    2
                  11              1000000         6.8188119888128694E-03         1.0000000000000000E+03         1.6565999999947813E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -341                 -261                  144                  679                  188                    2
                  12              1100000         7.3814521270210614E-03         1.0000000000000000E+03         1.9052999999944461E+01                   0                    1                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                 -372                 -286                  154                  741                  208                    2
                  13              1200000         8.1919698677996693E-03         1.0000000000000000E+03         1.9104999999927628E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                 -405                 -311                  170                  807                  225                    2
                  14              1300000         9.2431617971296762E-03         1.0000000000000000E+03         8.2389999999260386E+00                   0                    3                    0                    4                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                 -451                 -347                  198                  897                  244                    3
                  15              1400000         1.0136761988190735E-02         1.0000000000000000E+03         1.6609999999921630E+01                   0                    1                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -494                 -376                  221                  984                  264                    3
