               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         9.4687200482376329E-06         1.0000000000000000E+03        -1.7299999999999893E-01                   0                    3                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                   -1                    0                    0                    0                    0                    0
                   3                16000         1.3072387226894324E-05         1.0000000000000000E+03         4.4000000000004036E-02                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                   4                24000         1.3575520093567976E-05         1.0000000000000000E+03         4.0000000000035563E-03                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                   5                32000         1.4123704900779559E-05         1.0000000000000000E+03        -3.4600000000001407E-01                   0                    6                    0                    0                    0                    0                    0                    2                    0                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                   6                40000         1.5244476129532832E-05         1.0000000000000000E+03        -1.5317608292875207E-14                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                   7                48000         1.6444095654229367E-05         1.0000000000000000E+03        -3.4000000000028896E-02                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                   8                56000         1.7854317699317990E-05         1.0000000000000000E+03        -3.8000000000034229E-02                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                   9                64000         1.8592567205689119E-05         1.0000000000000000E+03        -3.4000000000046660E-02                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                  10                72000         1.9378351731882938E-05         1.0000000000000000E+03        -3.4000000000047548E-02                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                  11                80000         2.0242488706525481E-05         1.0000000000000000E+03        -3.4000000000045771E-02                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                  12                88000         2.1457343950613235E-05         1.0000000000000000E+03         3.9999999999498215E-03                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                  13                96000         2.2643902507671793E-05         1.0000000000000000E+03         3.9999999999456026E-03                   0                    7                    0                    0                    0                    0                    0                    1                    1                    0                    0                    0                   -2                    0                    0                    0                    0                    0
                  14               104000         2.3626272529900289E-05         1.0000000000000000E+03        -1.3100000000005063E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  15               112000         2.4288885973533018E-05         1.0000000000000000E+03        -3.7700000000006917E-01                   0                    9                    0                    0                    0                    0                    1                    1                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  16               120000         2.5172084553399783E-05         1.0000000000000000E+03         1.8099999999994298E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  17               128000         2.5609704939586480E-05         1.0000000000000000E+03         1.7699999999993121E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  18               136000         2.5942850525794010E-05         1.0000000000000000E+03         1.4899999999990254E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  19               144000         2.6413457071930593E-05         1.0000000000000000E+03         8.2999999999897711E-02                   0                   10                    0                    0                    0                    0                    1                    0                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  20               152000         2.6806998032177254E-05         1.0000000000000000E+03         2.2099999999987907E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  21               160000         2.7413755371011756E-05         1.0000000000000000E+03         1.4299999999988033E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  22               168000         2.7747664927076334E-05         1.0000000000000000E+03        -2.3900000000013510E-01                   0                    9                    0                    0                    0                    0                    1                    1                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  23               176000         2.8146094186927468E-05         1.0000000000000000E+03         2.2499999999984621E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  24               184000         2.8446539019427730E-05         1.0000000000000000E+03        -1.9500000000018469E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  25               192000         2.8868775521555403E-05         1.0000000000000000E+03         1.4299999999980284E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  26               200000         2.9548579031765849E-05         1.0000000000000000E+03        -1.7300000000019500E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  27               208000         3.0076648929739305E-05         1.0000000000000000E+03        -1.2900000000019674E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  28               216000         3.0498189136415126E-05         1.0000000000000000E+03         1.4299999999978530E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  29               224000         3.0868973476985596E-05         1.0000000000000000E+03         3.9499999999977864E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  30               232000         3.1363822884037797E-05         1.0000000000000000E+03         8.2999999999761959E-02                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  31               240000         3.2101024709515165E-05         1.0000000000000000E+03         2.5899999999976697E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  32               248000         3.2686327386821712E-05         1.0000000000000000E+03        -1.5500000000024244E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  33               256000         3.3225751861796598E-05         1.0000000000000000E+03        -1.7300000000026272E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  34               264000         3.3488423262470925E-05         1.0000000000000000E+03         2.2499999999969722E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  35               272000         3.3893739342978647E-05         1.0000000000000000E+03        -2.1100000000032337E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  36               280000         3.4188768019106664E-05         1.0000000000000000E+03        -2.3500000000035315E-01                   0                    9                    0                    0                    0                    0                    1                    1                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  37               288000         3.4736219899592019E-05         1.0000000000000000E+03         1.8099999999964367E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  38               296000         3.5168669152680944E-05         1.0000000000000000E+03        -1.2900000000036238E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  39               304000         3.5505564324229382E-05         1.0000000000000000E+03        -1.7700000000038085E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  40               312000         3.5938669398110483E-05         1.0000000000000000E+03        -4.9300000000040334E-01                   0                    9                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  41               320000         3.6695972434846501E-05         1.0000000000000000E+03         1.4899999999959612E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  42               328000         3.7160464745268104E-05         1.0000000000000000E+03         2.2499999999958131E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  43               336000         3.7492169315838191E-05         1.0000000000000000E+03         2.3799999999956523E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  44               344000         3.7799008021399756E-05         1.0000000000000000E+03        -1.9500000000046969E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  45               352000         3.8087946613259204E-05         1.0000000000000000E+03        -4.8900000000050547E-01                   0                    9                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  46               360000         3.9217124127969426E-05         1.0000000000000000E+03         1.0499999999951348E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  47               368000         3.9958019481264210E-05         1.0000000000000000E+03         1.3899999999952017E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  48               376000         4.0374992579384824E-05         1.0000000000000000E+03        -2.2900000000050280E-01                   0                    9                    0                    0                    0                    0                    1                    1                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  49               384000         4.0884772071213891E-05         1.0000000000000000E+03         1.0499999999949616E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  50               392000         4.1626661429182147E-05         1.0000000000000000E+03        -1.6900000000049584E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  51               400000         4.2016198073497883E-05         1.0000000000000000E+03        -2.1500000000051434E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  52               408000         4.2391420180506377E-05         1.0000000000000000E+03        -1.3500000000054335E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  53               416000         4.2688009298680541E-05         1.0000000000000000E+03         1.9299999999943362E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  54               424000         4.3285152144593524E-05         1.0000000000000000E+03         1.0499999999944110E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  55               432000         4.3949592995362526E-05         1.0000000000000000E+03         1.9999999999446016E-02                   0                   10                    0                    0                    0                    0                    1                    0                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  56               440000         4.4486830576189410E-05         1.0000000000000000E+03         1.8899999999944828E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  57               448000         4.4952440855624859E-05         1.0000000000000000E+03        -2.2300000000055875E-01                   0                    9                    0                    0                    0                    0                    1                    1                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  58               456000         4.5359256603109858E-05         1.0000000000000000E+03         1.3499999999942269E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  59               464000         4.6241388628207103E-05         1.0000000000000000E+03         1.8299999999943561E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  60               472000         4.6526455521818163E-05         1.0000000000000000E+03        -4.8500000000060139E-01                   0                    9                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  61               480000         4.6792438337023371E-05         1.0000000000000000E+03        -1.7300000000065152E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  62               488000         4.7144493997995221E-05         1.0000000000000000E+03         1.8299999999930550E-01                   0                   11                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  63               496000         4.7831433401347163E-05         1.0000000000000000E+03        -2.1100000000069974E-01                   0                   10                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    0                    0                    0
                  64               504000         4.8425207271197443E-05         1.0000000000000000E+03         1.2949999999992872E+00                   0                    9                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    1                    0                    0
                  65               512000         4.9431406384170728E-05         1.0000000000000000E+03         1.2749999999992492E+00                   0                    9                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    1                    0                    0
                  66               520000         4.9701075183548004E-05         1.0000000000000000E+03         1.0209999999992425E+00                   0                    8                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    1                    0                    0
                  67               528000         5.0192062970769776E-05         1.0000000000000000E+03         9.4099999999921524E-01                   0                    8                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    1                    0                    0
                  68               536000         5.0810426611152610E-05         1.0000000000000000E+03         2.4529999999992231E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  69               544000         5.1220143810967076E-05         1.0000000000000000E+03         2.5399999999992611E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  70               552000         5.1768956767107899E-05         1.0000000000000000E+03         2.4469999999992815E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  71               560000         5.2470929217281507E-05         1.0000000000000000E+03         2.4469999999992798E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  72               568000         5.3221934123657221E-05         1.0000000000000000E+03         2.4529999999992844E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  73               576000         5.3969300814871477E-05         1.0000000000000000E+03         2.4089999999992955E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  74               584000         5.4580798264063550E-05         1.0000000000000000E+03         2.4089999999992937E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  75               592000         5.4941400412200834E-05         1.0000000000000000E+03         2.4429999999992984E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  76               600000         5.5671131220033513E-05         1.0000000000000000E+03         2.4089999999993088E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  77               608000         5.6263073550346165E-05         1.0000000000000000E+03         2.0929999999993254E+00                   0                    6                    0                    0                    0                    0                    0                    2                    1                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  78               616000         5.6883368026842438E-05         1.0000000000000000E+03         2.4089999999993390E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  79               624000         5.7572295058027995E-05         1.0000000000000000E+03         2.4629999999993566E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  80               632000         5.8146496992570899E-05         1.0000000000000000E+03         2.2859999999993663E+00                   0                    6                    0                    0                    0                    0                    1                    0                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  81               640000         5.8945706728182526E-05         1.0000000000000000E+03         1.7269999999993735E+00                   0                    5                    0                    0                    0                    0                    0                    3                    0                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  82               648000         5.9395819127241510E-05         1.0000000000000000E+03         2.4249999999993981E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  83               656000         5.9843211573811865E-05         1.0000000000000000E+03         2.4429999999993943E+00                   0                    7                    0                    0                    0                    0                    0                    1                    2                    0                    0                    0                   -3                    0                    0                    2                    0                    0
                  84               664000         6.0321773932317756E-05         1.0000000000000000E+03         2.6219999999994164E+00                   0                   11                    0                    0                    0                    0                    0                    1                    3                    0                    0                    0                   -4                    0                    0                    2                    0                    0
