               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         1.2907562128306170E-05         1.0000000000000000E+03        -3.4146000000000008E+01                   0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -13                    0                    0                    0                    0
                   3                16000         1.8422439036966664E-05         1.0000000000000000E+03        -4.2003000000000007E+01                   0                    0                   32                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -16                    0                    0                    0                    0
                   4                24000         2.3493435628816084E-05         1.0000000000000000E+03        -4.4490000000000002E+01                   0                    0                   34                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -17                    0                    0                    0                    0
                   5                32000         2.8331194126102712E-05         1.0000000000000000E+03        -5.2181999999999995E+01                   0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -20                    0                    0                    0                    0
                   6                40000         3.3158826951966509E-05         1.0000000000000000E+03        -5.2214999999999996E+01                   0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -20                    0                    0                    0                    0
                   7                48000         3.7882718171340601E-05         1.0000000000000000E+03        -5.2280999999999999E+01                   0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -20                    0                    0                    0                    0
                   8                56000         4.2727165246205953E-05         1.0000000000000000E+03        -5.2148999999999994E+01                   0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -20                    0                    0                    0                    0
                   9                64000         4.7435302699448727E-05         1.0000000000000000E+03        -5.7419999999999995E+01                   0                    0                   44                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -22                    0                    0                    0                    0
                  10                72000         5.2189337099882579E-05         1.0000000000000000E+03        -6.2459999999999987E+01                   0                    0                   48                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -24                    0                    0                    0                    0
                  11                80000         5.6723099221490493E-05         1.0000000000000000E+03        -6.4782000000091131E+01                   0                    0                   50                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -25                    0                    0                    0                    0
                  12                88000         6.1295213171628490E-05         1.0000000000000000E+03        -6.9855000000129905E+01                   0                    0                   54                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -27                    0                    0                    0                    0
