               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         2.1995592659262536E-05         1.0000000000000000E+03        -1.5912000000000072E+01                   0                    0                   12                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   -6                    0                    0                    0                    0
                   3                16000         3.0913609463729037E-05         1.0000000000000000E+03        -2.6454000000000072E+01                   0                    0                   20                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -10                    0                    0                    0                    0
                   4                24000         3.7593576240791389E-05         1.0000000000000000E+03        -3.1527000000000065E+01                   0                    0                   24                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -12                    0                    0                    0                    0
                   5                32000         4.4029087149444292E-05         1.0000000000000000E+03        -3.1527000000000065E+01                   0                    0                   24                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -12                    0                    0                    0                    0
                   6                40000         5.0473061080563848E-05         1.0000000000000000E+03        -3.6699000000000062E+01                   0                    0                   28                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -14                    0                    0                    0                    0
                   7                48000         5.6195926755251492E-05         1.0000000000000000E+03        -4.1904000000000060E+01                   0                    0                   32                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -16                    0                    0                    0                    0
                   8                56000         6.1417554649283355E-05         1.0000000000000000E+03        -4.7043000000000056E+01                   0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -18                    0                    0                    0                    0
                   9                64000         6.6353164071163278E-05         1.0000000000000000E+03        -4.7109000000000059E+01                   0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -18                    0                    0                    0                    0
                  10                72000         7.1212295369555971E-05         1.0000000000000000E+03        -5.2050000000000047E+01                   0                    0                   40                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -20                    0                    0                    0                    0
                  11                80000         7.5903302749024142E-05         1.0000000000000000E+03        -5.7387000000000050E+01                   0                    0                   44                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -22                    0                    0                    0                    0
