               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         2.0314907011006422E-02         1.0000000000000000E+03         1.9052999999996103E+01                   0                    1                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                  -31                  -11                   20                   61                    1                    0
                   3               200000         4.2207991060012426E-02         1.0000000000000000E+03         3.2660999999992804E+01                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                    0                    0                  -55                  -23                   34                  110                    6                    0
                   4               300000         6.8217835274801464E-02         1.0000000000000000E+03         2.2795999999988872E+01                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                  -78                  -39                   56                  156                   11                    0
                   5               400000         1.0331961094200502E-01         1.0000000000000000E+03         2.2795999999979678E+01                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                 -113                  -60                   84                  226                   18                    0
                   6               500000         1.4023710409380152E-01         1.0000000000000000E+03         1.7741999999977605E+01                   0                    0                    0                    2                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                 -150                  -82                  118                  300                   22                    0
                   7               600000         1.6527128647040459E-01         1.0000000000000000E+03         1.6583999999973646E+01                   0                    0                    0                    1                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -176                  -96                  143                  352                   24                    0
                   8               700000         1.9608691947743676E-01         1.0000000000000000E+03         1.6565999999968053E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -209                 -115                  170                  417                   30                    0
                   9               800000         2.2129015846355624E-01         1.0000000000000000E+03         1.9008999999961880E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                 -242                 -132                  200                  483                   32                    0
                  10               900000         2.5012801953630953E-01         1.0000000000000000E+03         1.6565999999951583E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -270                 -148                  226                  539                   35                    0
                  11              1000000         2.8796681942516905E-01         1.0000000000000000E+03         1.4192999999947512E+01                   0                    1                    0                    0                    0                    0                    1                    0                    1                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                 -310                 -169                  265                  619                   36                    0
                  12              1100000         3.1084325018188375E-01         1.0000000000000000E+03         2.1451999999941961E+01                   0                    2                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                 -346                 -189                  292                  691                   43                    0
                  13              1200000         3.3262378130721881E-01         1.0000000000000000E+03         1.8213999999936668E+01                   0                    4                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                 -379                 -209                  320                  756                   49                    0
