               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         1.7636561010877807E-05         1.0000000000000000E+03        -4.4899999999786324E+00                   0                    3                    0                   14                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -14                  -13                    0                   25                    5                    1
                   3               200000         4.6433890835795648E-05         1.0000000000000000E+03         6.4150000000394911E+00                   0                    1                    0                    6                    0                    0                    1                    0                    1                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -26                  -22                    0                   48                   17                    3
                   4               300000         8.0961130915164952E-05         1.0000000000000000E+03        -4.4359999999702104E+00                   0                    2                    0                   13                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -42                  -41                    2                   79                   31                    3
                   5               400000         8.6049163244878528E-05         1.0000000000000000E+03        -1.6100999999977791E+01                   0                    2                    0                   20                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                  -43                  -46                    2                   81                   32                    3
                   6               500000         9.0301859447001199E-05         1.0000000000000000E+03        -9.4359999999776480E+00                   0                    3                    0                   18                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -45                  -46                    2                   85                   34                    3
                   7               600000         1.5128426147291597E-04         1.0000000000000000E+03        -8.1469999999943727E+00                   0                    2                    0                   16                    0                    0                    1                    1                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -66                  -67                    3                  124                   54                    6
                   8               700000         1.5828598836322631E-04         1.0000000000000000E+03        -8.8230000000147868E+00                   0                    3                    0                   14                    0                    0                    1                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -70                  -72                    4                  130                   58                    8
                   9               800000         1.7951225353066716E-04         1.0000000000000000E+03         2.5329999999813024E+00                   0                    1                    0                    8                    0                    0                    1                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                  -79                  -76                    7                  148                   63                    9
                  10               900000         2.3430977347278952E-04         1.0000000000000000E+03        -2.9730000000132977E+00                   0                    1                    0                   13                    0                    0                    1                    0                    1                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -98                  -96                   11                  184                   78                   11
