               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*                   O*                  CO*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2                 8000         1.6458121185734586E-06         1.0000000000000000E+03        -4.4529999999999980E+01                   0                    3                   29                    0                    1                    0                    0                    0                    0                    0                    1                    0                   -1                  -16                    0                    0                    0                    0
                   3                16000         1.7582165522034845E-06         1.0000000000000000E+03        -4.8126999999999981E+01                   0                    2                   32                    0                    0                    0                    0                    0                    0                    0                    2                    0                   -1                  -18                    0                    0                    1                    0
                   4                24000         1.8584893474657049E-06         1.0000000000000000E+03        -4.7740999999999978E+01                   0                    2                   32                    0                    0                    0                    0                    0                    0                    0                    2                    0                   -1                  -18                    0                    0                    1                    0
                   5                32000         1.9430337133106981E-06         1.0000000000000000E+03        -4.7870999999999988E+01                   0                    1                   31                    0                    0                    0                    0                    0                    0                    0                    3                    0                   -1                  -18                    0                    0                    1                    0
                   6                40000         2.0316634324421562E-06         1.0000000000000000E+03        -4.8195999999999991E+01                   0                    1                   31                    0                    0                    0                    0                    0                    0                    0                    3                    0                   -1                  -18                    0                    0                    1                    0
                   7                48000         2.1300660433356354E-06         1.0000000000000000E+03        -4.7450999999999979E+01                   0                    2                   32                    0                    0                    0                    0                    0                    0                    0                    2                    0                   -1                  -18                    0                    0                    1                    0
                   8                56000         2.2441703739836886E-06         1.0000000000000000E+03        -4.8146999999999984E+01                   0                    2                   32                    0                    0                    0                    0                    0                    0                    0                    2                    0                   -1                  -18                    0                    0                    1                    0
                   9                64000         2.3410473630094483E-06         1.0000000000000000E+03        -4.8035999999999980E+01                   0                    2                   32                    0                    0                    0                    0                    0                    0                    0                    2                    0                   -1                  -18                    0                    0                    1                    0
                  10                72000         2.4438579176264539E-06         1.0000000000000000E+03        -4.8439999999999984E+01                   0                    1                   31                    0                    0                    0                    0                    0                    0                    0                    3                    0                   -1                  -18                    0                    0                    1                    0
                  11                80000         2.5321394199604356E-06         1.0000000000000000E+03        -5.3204999999999984E+01                   0                    1                   35                    0                    0                    0                    0                    0                    0                    0                    3                    0                   -1                  -20                    0                    0                    1                    0
                  12                88000         2.6012949303444290E-06         1.0000000000000000E+03        -5.2745999999999988E+01                   0                    0                   34                    0                    0                    0                    0                    0                    0                    0                    4                    0                   -1                  -20                    0                    0                    1                    0
                  13                96000         2.6514983487679869E-06         1.0000000000000000E+03        -5.3126999999999995E+01                   0                    0                   34                    0                    0                    0                    0                    0                    0                    0                    4                    0                   -1                  -20                    0                    0                    1                    0
                  14               104000         2.7007094991908853E-06         1.0000000000000000E+03        -5.5277999999999984E+01                   0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    4                    0                   -1                  -21                    0                    0                    1                    0
                  15               112000         2.7553636363967648E-06         1.0000000000000000E+03        -5.6069999999999986E+01                   0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    4                    0                   -1                  -21                    0                    0                    1                    0
                  16               120000         2.8137494754186408E-06         1.0000000000000000E+03        -5.8114999999999981E+01                   0                    1                   39                    0                    0                    0                    0                    0                    0                    0                    3                    0                   -1                  -22                    0                    0                    1                    0
                  17               128000         2.8737412115281998E-06         1.0000000000000000E+03        -5.8180999999999969E+01                   0                    1                   39                    0                    0                    0                    0                    0                    0                    0                    3                    0                   -1                  -22                    0                    0                    1                    0
