               Entry              Nevents                           Time                    Temperature                         Energy                CH3*                   H*              CH3_Pt*                   O*                O_Pt*                  CO*               CO_Pt*              CH2_Pt*               CH_Pt*                C_Pt*               OH_Pt*              H2O_Pt*              CO2_Pt*             COOH_Pt*              CHO_Pt*                 CO2*                 H2O*                 CH2*                  CH*                   C*                 CHO*                  OH*                COOH*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         2.9716009920422728E-04         1.0000000000000000E+03         4.3222999999996837E+01                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   10                    0                    0                    0                  -24                   -2                    4                   47                    0                    0
                   3               200000         7.0620703756612299E-04         1.0000000000000000E+03         4.3315999999996841E+01                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   10                    0                    0                    0                  -34                   -7                   14                   67                    0                    0
                   4               300000         8.1277982710417597E-04         1.0000000000000000E+03         5.8066999999996831E+01                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   16                    0                    0                    0                  -40                   -7                   14                   79                    0                    0
                   5               400000         1.0263088730069877E-03         1.0000000000000000E+03         6.9366999999960484E+01                   0                    2                    0                    0                    0                    0                    0                    0                    1                    8                    0                    0                    0                    0                    0                    0                    0                    0                    1                   21                    0                    0                    0                  -47                   -8                   16                   92                    0                    0
                   6               500000         1.1356928730708348E-03         1.0000000000000000E+03         7.7465999999960488E+01                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   23                    0                    0                    0                  -52                   -9                   18                  103                    0                    0
                   7               600000         1.3119686187687413E-03         1.0000000000000000E+03         8.5103999999960465E+01                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   27                    0                    0                    0                  -57                  -10                   20                  113                    0                    0
                   8               700000         1.3788708741559262E-03         1.0000000000000000E+03         9.0052999999960434E+01                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   28                    0                    0                    0                  -59                  -10                   20                  117                    0                    0
                   9               800000         1.5257018457706087E-03         1.0000000000000000E+03         9.7358999999960389E+01                   0                    3                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    3                   31                    0                    0                    0                  -63                  -10                   20                  123                    0                    0
                  10               900000         1.5303254187021542E-03         1.0000000000000000E+03         1.0077899999996040E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    3                   32                    0                    0                    0                  -64                  -10                   20                  126                    0                    0
                  11              1000000         1.5345479317492858E-03         1.0000000000000000E+03         1.0522299999996039E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   35                    0                    0                    0                  -65                  -10                   20                  129                    0                    0
                  12              1100000         1.5401314283581295E-03         1.0000000000000000E+03         1.0567399999996037E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    1                    2                   34                    0                    0                    0                  -66                  -10                   20                  130                    0                    0
                  13              1200000         1.6608092638508854E-03         1.0000000000000000E+03         1.0976099999996039E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   36                    0                    0                    0                  -67                  -10                   20                  133                    0                    0
                  14              1300000         1.6714086315674278E-03         1.0000000000000000E+03         1.1283599999996034E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   38                    0                    0                    0                  -68                  -10                   20                  135                    0                    0
                  15              1400000         1.6766100470383320E-03         1.0000000000000000E+03         1.1253199999996033E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   37                    0                    0                    0                  -68                  -10                   20                  135                    0                    0
                  16              1500000         2.0487823643882369E-03         1.0000000000000000E+03         1.1801999999996028E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   39                    0                    0                    0                  -70                  -10                   20                  139                    0                    0
                  17              1600000         2.0542045128435086E-03         1.0000000000000000E+03         1.1767299999996035E+02                   0                    1                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    1                   40                    0                    0                    0                  -70                  -10                   20                  139                    0                    0
                  18              1700000         2.0590092569002984E-03         1.0000000000000000E+03         1.1774099999996031E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   39                    0                    0                    0                  -70                  -10                   20                  139                    0                    0
                  19              1800000         2.0644296080540442E-03         1.0000000000000000E+03         1.1732499999996034E+02                   0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    2                   39                    0                    0                    0                  -70                  -10                   20                  139                    0                    0
